Year,Population,Total,Violent,Property,Murder,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Vehicle Theft
1984,"236,158,000","5,031.3",539.2,"4,492.1",7.9,35.7,205.4,290.2,"1,263.7","2,791.3",437.1
1985,"238,740,000","5,207.1",556.6,"4,650.5",8.0,37.1,208.5,302.9,"1,287.3","2,901.2",462.0
1986,"240,132,887","5,480.4",620.1,"4,881.8",8.6,38.1,226.0,347.4,"1,349.8","3,022.1",509.8
1987,"242,288,918","5,550.0",609.7,"4,940.3",8.3,37.4,212.7,351.3,"1,329.6","3,081.3",529.5
1988,"245,807,000","5,664.2",637.2,"5,027.1",8.4,37.6,220.9,370.2,"1,309.2","3,134.9",582.9
1989,"248,239,000","5,741.0",663.1,"5,077.9",8.7,38.1,233.0,383.4,"1,276.3","3,171.3",630.4
1990,"248,709,873","5,820.3",731.8,"5,088.5",9.4,41.2,257.0,424.1,"1,235.9","3,194.8",657.8
1991,"252,177,000","5,897.8",758.1,"5,139.7",9.8,42.3,272.7,433.3,"1,252.0","3,228.8",658.9
1992,"255,082,000","5,660.2",757.5,"4,902.7",9.3,42.8,263.6,441.8,"1,168.2","3,103.0",631.5
1993,"257,908,000","5,484.4",746.8,"4,737.7",9.5,41.1,255.9,440.3,"1,099.2","3,032.4",606.1
1994,"260,341,000","5,373.5",713.6,"4,660.0",9.0,39.3,237.7,427.6,"1,042.0","3,026.7",591.3
1995,"262,755,000","5,274.9",684.5,"4,591.3",8.2,37.1,220.9,418.3,987.1,"3,043.8",560.4
1996,"265,284,000","5,087.6",636.6,"4,451.0",7.4,36.3,201.9,390.9,945.0,"2,980.3",525.7
1997,"267,637,000","4,927.3",611.0,"4,316.3",6.8,35.9,186.1,382.1,919.6,"2,891.8",505.7
1998,"270,296,000","4,615.5",566.4,"4,049.1",6.3,34.4,165.2,360.5,862.0,"2,728.1",459.0
1999,"272,690,813","4,266.5",523.0,"3,743.6",5.7,32.8,150.1,334.3,770.4,"2,550.7",422.5
2000,"281,421,906","4,124.8",506.5,"3,618.3",5.5,32.0,145.0,324.0,728.8,"2,477.3",412.2
2001,"285,317,559","4,162.6",504.5,"3,658.1",5.6,31.8,148.5,318.6,741.8,"2,485.7",430.5
2002,"287,973,924","4,125.0",494.4,"3,630.6",5.6,33.1,146.1,309.5,747.0,"2,450.7",432.9
2003,"290,690,788","4,067.0",475.8,"3,591.2",5.7,32.3,142.5,295.4,741.0,"2,416.5",433.7
2004,"293,656,842","3,977.3",463.2,"3,514.1",5.5,32.4,136.7,288.6,730.3,"2,362.3",421.5
2005,"296,507,061","3,900.5",469.0,"3,431.5",5.6,31.8,140.8,290.8,726.9,"2,287.8",416.8
2006,"299,398,484","3,808.1",473.6,"3,334.5",5.7,30.9,149.4,287.5,729.4,"2,206.8",398.4
2007,"301,621,157","3,730.4",466.9,"3,263.5",5.6,30.0,147.6,283.8,722.5,"2,177.8",363.3
2008,"304,374,846","3,669.0",457.5,"3,211.5",5.4,29.7,145.7,276.7,732.1,"2,167.0",314.7
2009,"307,006,550","3,465.5",431.9,"3,036.1",5.0,29.1,133.1,264.7,717.7,"2,064.5",259.2
2010,"309,330,219","3,350.4",404.5,"2,945.9",4.8,27.7,119.3,252.8,701.0,"2,005.8",239.1
2011,"311,587,816","3,292.5",387.1,"2,905.4",4.7,27.0,113.9,241.5,701.3,"1,974.1",230.0
2012,"313,873,685","3,255.8",387.8,"2,868.0",4.7,27.1,113.1,242.8,672.2,"1,965.4",230.4
2013,"316,497,531","3,112.4",379.1,"2,733.3",4.5,25.9,109.0,229.6,610.4,"1,901.6",221.3
2014,"318,907,401","2,946.1",372.0,"2,574.1",4.4,26.6,101.3,229.2,537.2,"1,821.5",215.4
2015,"320,896,618","2,885.1",384.6,"2,500.5",4.9,28.4,102.2,238.1,494.7,"1,783.6",222.2
2016,"323,405,935","2,849.1",397.5,"2,451.6",5.4,40.9*,102.9,248.3,468.9,"1,745.4",237.3
2017,"325,147,121","2,757.8",394.9,"2,362.9",5.3,41.7,98.6,249.2,429.7,"1,695.5",237.7
2018,"326,687,501","2,593.2",383.4,"2,209.8",5.0,44.0,86.1,248.2,378.0,"1,601.6",230.2
2019,"328,239,523","2,489.3",379.4,"2,109.9",5.0,42.6,81.6,250.2,340.5,"1,549.5",219.9
