Year,State/Area,Rate
1988,Delaware,3.1
1989,Delaware,3.5
1990,Delaware,4.7
1991,Delaware,6.2
1992,Delaware,5.4
1993,Delaware,5.1
1994,Delaware,4.8
1995,Delaware,4.3
1996,Delaware,5.1
1997,Delaware,4.0
1998,Delaware,3.7
1999,Delaware,3.4
2000,Delaware,3.7
2001,Delaware,3.5
2002,Delaware,4.0
2003,Delaware,4.3
2004,Delaware,4.0
2005,Delaware,4.1
2006,Delaware,3.6
2007,Delaware,3.4
2008,Delaware,4.9
2009,Delaware,8.3
2010,Delaware,8.4
2011,Delaware,7.5
2012,Delaware,7.2
2013,Delaware,6.7
2014,Delaware,5.7
2015,Delaware,4.9
2016,Delaware,4.5
2017,Delaware,4.5
2018,Delaware,3.8
1981,District of Columbia,8.9
1982,District of Columbia,10.4
1983,District of Columbia,11.2
1984,District of Columbia,9.1
1985,District of Columbia,8.1
1986,District of Columbia,7.5
1987,District of Columbia,6.3
1988,District of Columbia,5.0
1989,District of Columbia,4.9
1990,District of Columbia,6.3
1991,District of Columbia,7.8
1992,District of Columbia,8.6
1993,District of Columbia,8.5
1994,District of Columbia,8.0
1995,District of Columbia,8.8
1996,District of Columbia,8.4
1997,District of Columbia,8.0
1998,District of Columbia,8.4
1999,District of Columbia,6.4
2000,District of Columbia,5.6
2001,District of Columbia,6.3
2002,District of Columbia,6.4
2003,District of Columbia,6.8
2004,District of Columbia,7.8
2005,District of Columbia,6.4
2006,District of Columbia,5.8
2007,District of Columbia,5.5
2008,District of Columbia,6.5
2009,District of Columbia,9.3
2010,District of Columbia,9.4
2011,District of Columbia,10.2
2012,District of Columbia,9.0
2013,District of Columbia,8.5
2014,District of Columbia,7.8
2015,District of Columbia,6.9
2016,District of Columbia,6.1
2017,District of Columbia,6.1
2018,District of Columbia,5.6
1981,Florida,6.7
1982,Florida,8.4
1983,Florida,8.5
1984,Florida,6.4
1985,Florida,6.0
1986,Florida,5.8
1987,Florida,5.3
1988,Florida,5.1
1989,Florida,5.6
1990,Florida,6.1
1991,Florida,7.5
1992,Florida,8.2
1993,Florida,7.1
1994,Florida,6.4
1995,Florida,5.5
1996,Florida,5.2
1997,Florida,4.8
1998,Florida,4.3
1999,Florida,3.9
2000,Florida,3.7
2001,Florida,4.7
2002,Florida,5.6
2003,Florida,5.2
2004,Florida,4.6
2005,Florida,3.7
2006,Florida,3.2
2007,Florida,4.0
2008,Florida,6.3
2009,Florida,10.4
2010,Florida,11.1
2011,Florida,10.0
2012,Florida,8.5
2013,Florida,7.2
2014,Florida,6.3
2015,Florida,5.5
2016,Florida,4.8
2017,Florida,4.2
2018,Florida,3.6
1981,Georgia,6.4
1982,Georgia,7.8
1983,Georgia,7.7
1984,Georgia,6.1
1985,Georgia,6.4
1986,Georgia,6.0
1987,Georgia,5.7
1988,Georgia,5.7
1989,Georgia,5.5
1990,Georgia,5.5
1991,Georgia,5.2
1992,Georgia,6.9
1993,Georgia,6.0
1994,Georgia,5.2
1995,Georgia,4.8
1996,Georgia,4.7
1997,Georgia,4.6
1998,Georgia,4.3
1999,Georgia,3.9
2000,Georgia,3.6
2001,Georgia,4.0
2002,Georgia,5.0
2003,Georgia,4.8
2004,Georgia,4.8
2005,Georgia,5.3
2006,Georgia,4.7
2007,Georgia,4.5
2008,Georgia,6.2
2009,Georgia,9.9
2010,Georgia,10.5
2011,Georgia,10.2
2012,Georgia,9.2
2013,Georgia,8.2
2014,Georgia,7.1
2015,Georgia,6.0
2016,Georgia,5.4
2017,Georgia,4.7
2018,Georgia,3.9
1981,Hawaii,5.4
1982,Hawaii,6.3
1983,Hawaii,6.2
1984,Hawaii,5.7
1985,Hawaii,5.4
1986,Hawaii,4.8
1987,Hawaii,3.8
1988,Hawaii,3.2
1989,Hawaii,2.5
1990,Hawaii,2.7
1991,Hawaii,2.9
1992,Hawaii,4.3
1993,Hawaii,4.5
1994,Hawaii,5.5
1995,Hawaii,5.9
1996,Hawaii,6.3
1997,Hawaii,6.2
1998,Hawaii,6.1
1999,Hawaii,5.4
2000,Hawaii,4.2
2001,Hawaii,4.5
2002,Hawaii,4.2
2003,Hawaii,4.1
2004,Hawaii,3.4
2005,Hawaii,2.9
2006,Hawaii,2.6
2007,Hawaii,2.8
2008,Hawaii,4.3
2009,Hawaii,7.2
2010,Hawaii,6.9
2011,Hawaii,6.8
2012,Hawaii,6.0
2013,Hawaii,4.9
2014,Hawaii,4.4
2015,Hawaii,3.6
2016,Hawaii,3.0
2017,Hawaii,2.4
2018,Hawaii,2.4
1981,Idaho,7.7
1982,Idaho,9.9
1983,Idaho,8.9
1984,Idaho,7.3
1985,Idaho,7.9
1986,Idaho,8.4
1987,Idaho,7.6
1988,Idaho,6.0
1989,Idaho,5.3
1990,Idaho,5.5
1991,Idaho,6.2
1992,Idaho,6.4
1993,Idaho,6.0
1994,Idaho,5.4
1995,Idaho,5.4
1996,Idaho,5.3
1997,Idaho,5.1
1998,Idaho,5.1
1999,Idaho,4.9
2000,Idaho,4.7
2001,Idaho,5.1
2002,Idaho,5.6
2003,Idaho,5.6
2004,Idaho,4.9
2005,Idaho,4.0
2006,Idaho,3.5
2007,Idaho,3.1
2008,Idaho,5.1
2009,Idaho,8.8
2010,Idaho,9.0
2011,Idaho,8.3
2012,Idaho,7.2
2013,Idaho,6.1
2014,Idaho,4.8
2015,Idaho,4.2
2016,Idaho,3.8
2017,Idaho,3.2
2018,Idaho,2.8
1981,Illinois,8.5
1982,Illinois,11.4
1983,Illinois,11.8
1984,Illinois,9.0
1985,Illinois,9.1
1986,Illinois,8.3
1987,Illinois,7.4
1988,Illinois,6.7
1989,Illinois,6.0
1990,Illinois,6.1
1991,Illinois,7.3
1992,Illinois,7.9
1993,Illinois,7.4
1994,Illinois,5.8
1995,Illinois,5.2
1996,Illinois,5.3
1997,Illinois,4.8
1998,Illinois,4.4
1999,Illinois,4.4
2000,Illinois,4.3
2001,Illinois,5.3
2002,Illinois,6.5
2003,Illinois,6.8
2004,Illinois,6.2
2005,Illinois,5.7
2006,Illinois,4.5
2007,Illinois,5.0
2008,Illinois,6.3
2009,Illinois,10.2
2010,Illinois,10.4
2011,Illinois,9.7
2012,Illinois,9.0
2013,Illinois,9.0
2014,Illinois,7.1
2015,Illinois,6.0
2016,Illinois,5.8
2017,Illinois,4.9
2018,Illinois,4.3
1981,Indiana,9.9
1982,Indiana,12.0
1983,Indiana,11.2
1984,Indiana,8.6
1985,Indiana,7.8
1986,Indiana,6.9
1987,Indiana,6.2
1988,Indiana,5.2
1989,Indiana,4.9
1990,Indiana,5.3
1991,Indiana,6.0
1992,Indiana,6.6
1993,Indiana,5.4
1994,Indiana,4.9
1995,Indiana,4.6
1996,Indiana,4.1
1997,Indiana,3.5
1998,Indiana,3.1
1999,Indiana,3.0
2000,Indiana,3.1
2001,Indiana,4.2
2002,Indiana,5.2
2003,Indiana,5.3
2004,Indiana,5.4
2005,Indiana,5.5
2006,Indiana,5.0
2007,Indiana,4.6
2008,Indiana,5.9
2009,Indiana,10.3
2010,Indiana,10.4
2011,Indiana,9.1
2012,Indiana,8.3
2013,Indiana,7.7
2014,Indiana,6.0
2015,Indiana,4.8
2016,Indiana,4.4
2017,Indiana,3.6
2018,Indiana,3.4
1981,Iowa,6.6
1982,Iowa,8.5
1983,Iowa,8.1
1984,Iowa,7.0
1985,Iowa,7.5
1986,Iowa,6.8
1987,Iowa,5.5
1988,Iowa,4.5
1989,Iowa,4.2
1990,Iowa,4.4
1991,Iowa,4.7
1992,Iowa,4.5
1993,Iowa,4.0
1994,Iowa,3.5
1995,Iowa,3.4
1996,Iowa,3.5
1997,Iowa,3.1
1998,Iowa,2.7
1999,Iowa,2.6
2000,Iowa,2.6
2001,Iowa,3.3
2002,Iowa,4.0
2003,Iowa,4.5
2004,Iowa,4.5
2005,Iowa,4.3
2006,Iowa,3.7
2007,Iowa,3.7
2008,Iowa,4.2
2009,Iowa,6.4
2010,Iowa,6.0
2011,Iowa,5.5
2012,Iowa,5.0
2013,Iowa,4.7
2014,Iowa,4.2
2015,Iowa,3.8
2016,Iowa,3.6
2017,Iowa,3.1
2018,Iowa,2.5
1981,Kansas,4.3
1982,Kansas,6.3
1983,Kansas,5.9
1984,Kansas,4.9
1985,Kansas,5.1
1986,Kansas,5.3
1987,Kansas,4.8
1988,Kansas,4.5
1989,Kansas,4.2
1990,Kansas,4.3
1991,Kansas,4.4
1992,Kansas,4.5
1993,Kansas,5.0
1994,Kansas,4.9
1995,Kansas,4.4
1996,Kansas,4.3
1997,Kansas,3.8
1998,Kansas,3.5
1999,Kansas,3.3
2000,Kansas,3.6
2001,Kansas,4.2
2002,Kansas,5.1
2003,Kansas,5.5
2004,Kansas,5.5
2005,Kansas,5.0
2006,Kansas,4.4
2007,Kansas,4.2
2008,Kansas,4.6
2009,Kansas,6.9
2010,Kansas,7.1
2011,Kansas,6.5
2012,Kansas,5.7
2013,Kansas,5.3
2014,Kansas,4.5
2015,Kansas,4.2
2016,Kansas,4.0
2017,Kansas,3.7
2018,Kansas,3.4
1981,Kentucky,8.6
1982,Kentucky,10.8
1983,Kentucky,11.4
1984,Kentucky,9.3
1985,Kentucky,9.2
1986,Kentucky,9.4
1987,Kentucky,8.5
1988,Kentucky,7.6
1989,Kentucky,6.4
1990,Kentucky,6.0
1991,Kentucky,7.3
1992,Kentucky,6.9
1993,Kentucky,6.2
1994,Kentucky,5.4
1995,Kentucky,5.4
1996,Kentucky,5.5
1997,Kentucky,5.3
1998,Kentucky,4.6
1999,Kentucky,4.5
2000,Kentucky,4.2
2001,Kentucky,5.2
2002,Kentucky,5.7
2003,Kentucky,6.1
2004,Kentucky,5.4
2005,Kentucky,5.9
2006,Kentucky,5.7
2007,Kentucky,5.4
2008,Kentucky,6.4
2009,Kentucky,10.3
2010,Kentucky,10.2
2011,Kentucky,9.4
2012,Kentucky,8.2
2013,Kentucky,8.0
2014,Kentucky,6.5
2015,Kentucky,5.3
2016,Kentucky,5.1
2017,Kentucky,4.9
2018,Kentucky,4.3
1981,Louisiana,8.4
1982,Louisiana,10.3
1983,Louisiana,11.5
1984,Louisiana,10.1
1985,Louisiana,11.6
1986,Louisiana,12.8
1987,Louisiana,12.1
1988,Louisiana,10.8
1989,Louisiana,8.0
1990,Louisiana,6.2
1991,Louisiana,7.3
1992,Louisiana,8.0
1993,Louisiana,7.6
1994,Louisiana,7.8
1995,Louisiana,7.0
1996,Louisiana,6.6
1997,Louisiana,6.0
1998,Louisiana,5.7
1999,Louisiana,5.1
2000,Louisiana,5.3
2001,Louisiana,5.7
2002,Louisiana,6.1
2003,Louisiana,6.4
2004,Louisiana,5.9
2005,Louisiana,7.2
2006,Louisiana,4.5
2007,Louisiana,4.3
2008,Louisiana,4.9
2009,Louisiana,6.8
2010,Louisiana,8.0
2011,Louisiana,7.8
2012,Louisiana,7.1
2013,Louisiana,6.7
2014,Louisiana,6.4
2015,Louisiana,6.3
2016,Louisiana,6.1
2017,Louisiana,5.1
2018,Louisiana,4.9
1981,Maine,7.4
1982,Maine,8.4
1983,Maine,8.3
1984,Maine,6.2
1985,Maine,5.5
1986,Maine,5.3
1987,Maine,4.4
1988,Maine,3.6
1989,Maine,4.0
1990,Maine,5.3
1991,Maine,7.5
1992,Maine,7.3
1993,Maine,7.3
1994,Maine,7.0
1995,Maine,6.0
1996,Maine,5.2
1997,Maine,5.1
1998,Maine,4.5
1999,Maine,4.0
2000,Maine,3.4
2001,Maine,3.8
2002,Maine,4.3
2003,Maine,5.0
2004,Maine,4.6
2005,Maine,4.9
2006,Maine,4.6
2007,Maine,4.7
2008,Maine,5.5
2009,Maine,8.1
2010,Maine,8.1
2011,Maine,7.9
2012,Maine,7.5
2013,Maine,6.6
2014,Maine,5.6
2015,Maine,4.4
2016,Maine,3.8
2017,Maine,3.4
2018,Maine,3.4
1981,Maryland,7.3
1982,Maryland,8.3
1983,Maryland,7.0
1984,Maryland,5.4
1985,Maryland,4.6
1986,Maryland,4.6
1987,Maryland,4.4
1988,Maryland,4.3
1989,Maryland,3.8
1990,Maryland,4.5
1991,Maryland,6.1
1992,Maryland,6.8
1993,Maryland,6.2
1994,Maryland,5.3
1995,Maryland,5.0
1996,Maryland,5.0
1997,Maryland,5.0
1998,Maryland,4.4
1999,Maryland,3.6
2000,Maryland,3.6
2001,Maryland,4.0
2002,Maryland,4.4
2003,Maryland,4.4
2004,Maryland,4.3
2005,Maryland,4.1
2006,Maryland,3.9
2007,Maryland,3.5
2008,Maryland,4.2
2009,Maryland,7.0
2010,Maryland,7.7
2011,Maryland,7.2
2012,Maryland,7.0
2013,Maryland,6.6
2014,Maryland,5.8
2015,Maryland,5.1
2016,Maryland,4.5
2017,Maryland,4.3
2018,Maryland,3.9
1981,Massachusetts,6.5
1982,Massachusetts,7.7
1983,Massachusetts,6.8
1984,Massachusetts,4.8
1985,Massachusetts,4.0
1986,Massachusetts,3.9
1987,Massachusetts,3.2
1988,Massachusetts,3.3
1989,Massachusetts,4.2
1990,Massachusetts,6.3
1991,Massachusetts,8.6
1992,Massachusetts,8.5
1993,Massachusetts,7.0
1994,Massachusetts,6.0
1995,Massachusetts,5.3
1996,Massachusetts,4.4
1997,Massachusetts,3.9
1998,Massachusetts,3.3
1999,Massachusetts,3.2
2000,Massachusetts,2.7
2001,Massachusetts,3.7
2002,Massachusetts,5.3
2003,Massachusetts,5.7
2004,Massachusetts,5.1
2005,Massachusetts,4.8
2006,Massachusetts,4.9
2007,Massachusetts,4.6
2008,Massachusetts,5.5
2009,Massachusetts,8.1
2010,Massachusetts,8.3
2011,Massachusetts,7.3
2012,Massachusetts,6.7
2013,Massachusetts,6.7
2014,Massachusetts,5.7
2015,Massachusetts,4.8
2016,Massachusetts,3.9
2017,Massachusetts,3.8
2018,Massachusetts,3.3
1981,Michigan,12.4
1982,Michigan,15.4
1983,Michigan,14.4
1984,Michigan,11.2
1985,Michigan,10.0
1986,Michigan,8.8
1987,Michigan,8.3
1988,Michigan,7.5
1989,Michigan,7.1
1990,Michigan,7.6
1991,Michigan,9.2
1992,Michigan,9.0
1993,Michigan,7.2
1994,Michigan,6.0
1995,Michigan,5.3
1996,Michigan,4.9
1997,Michigan,4.3
1998,Michigan,3.9
1999,Michigan,3.7
2000,Michigan,3.6
2001,Michigan,5.2
2002,Michigan,6.3
2003,Michigan,7.2
2004,Michigan,7.0
2005,Michigan,6.8
2006,Michigan,7.0
2007,Michigan,7.0
2008,Michigan,8.0
2009,Michigan,13.7
2010,Michigan,12.6
2011,Michigan,10.4
2012,Michigan,9.1
2013,Michigan,8.8
2014,Michigan,7.2
2015,Michigan,5.4
2016,Michigan,5.0
2017,Michigan,4.6
2018,Michigan,4.1
1981,Minnesota,5.8
1982,Minnesota,7.9
1983,Minnesota,8.0
1984,Minnesota,6.3
1985,Minnesota,6.0
1986,Minnesota,5.5
1987,Minnesota,5.1
1988,Minnesota,4.3
1989,Minnesota,4.3
1990,Minnesota,4.8
1991,Minnesota,5.1
1992,Minnesota,5.1
1993,Minnesota,5.0
1994,Minnesota,4.1
1995,Minnesota,3.7
1996,Minnesota,4.0
1997,Minnesota,3.3
1998,Minnesota,2.7
1999,Minnesota,2.8
2000,Minnesota,3.2
2001,Minnesota,3.8
2002,Minnesota,4.5
2003,Minnesota,4.9
2004,Minnesota,4.7
2005,Minnesota,4.1
2006,Minnesota,4.0
2007,Minnesota,4.6
2008,Minnesota,5.4
2009,Minnesota,7.8
2010,Minnesota,7.4
2011,Minnesota,6.5
2012,Minnesota,5.6
2013,Minnesota,5.0
2014,Minnesota,4.2
2015,Minnesota,3.7
2016,Minnesota,3.9
2017,Minnesota,3.4
2018,Minnesota,2.9
1981,Mississippi,8.5
1982,Mississippi,11.1
1983,Mississippi,12.1
1984,Mississippi,10.5
1985,Mississippi,10.4
1986,Mississippi,11.4
1987,Mississippi,10.0
1988,Mississippi,8.4
1989,Mississippi,7.8
1990,Mississippi,7.6
1991,Mississippi,8.5
1992,Mississippi,8.1
1993,Mississippi,6.6
1994,Mississippi,6.3
1995,Mississippi,6.2
1996,Mississippi,6.0
1997,Mississippi,5.7
1998,Mississippi,5.3
1999,Mississippi,5.1
2000,Mississippi,5.4
2001,Mississippi,5.5
2002,Mississippi,6.6
2003,Mississippi,6.3
2004,Mississippi,6.2
2005,Mississippi,7.5
2006,Mississippi,6.5
2007,Mississippi,6.1
2008,Mississippi,6.6
2009,Mississippi,9.5
2010,Mississippi,10.4
2011,Mississippi,10.0
2012,Mississippi,9.0
2013,Mississippi,8.5
2014,Mississippi,7.5
2015,Mississippi,6.4
2016,Mississippi,5.8
2017,Mississippi,5.1
2018,Mississippi,4.8
1981,Missouri,7.6
1982,Missouri,9.2
1983,Missouri,9.9
1984,Missouri,7.2
1985,Missouri,6.5
1986,Missouri,6.2
1987,Missouri,6.3
1988,Missouri,5.7
1989,Missouri,5.5
1990,Missouri,5.8
1991,Missouri,6.6
1992,Missouri,6.2
1993,Missouri,6.2
1994,Missouri,5.1
1995,Missouri,4.7
1996,Missouri,4.8
1997,Missouri,4.3
1998,Missouri,4.2
1999,Missouri,3.3
2000,Missouri,3.6
2001,Missouri,4.6
2002,Missouri,5.4
2003,Missouri,5.6
2004,Missouri,5.9
2005,Missouri,5.4
2006,Missouri,4.8
2007,Missouri,5.1
2008,Missouri,6.1
2009,Missouri,9.3
2010,Missouri,9.6
2011,Missouri,8.5
2012,Missouri,6.9
2013,Missouri,6.7
2014,Missouri,6.1
2015,Missouri,5.0
2016,Missouri,4.6
2017,Missouri,3.8
2018,Missouri,3.2
1981,Montana,6.8
1982,Montana,8.5
1983,Montana,8.6
1984,Montana,7.6
1985,Montana,7.7
1986,Montana,7.9
1987,Montana,7.4
1988,Montana,6.6
1989,Montana,5.8
1990,Montana,6.0
1991,Montana,6.9
1992,Montana,6.7
1993,Montana,6.0
1994,Montana,5.2
1995,Montana,5.7
1996,Montana,5.3
1997,Montana,5.3
1998,Montana,5.5
1999,Montana,5.3
2000,Montana,5.0
2001,Montana,4.5
2002,Montana,4.4
2003,Montana,4.7
2004,Montana,4.8
2005,Montana,4.4
2006,Montana,3.5
2007,Montana,3.6
2008,Montana,5.1
2009,Montana,6.8
2010,Montana,7.3
2011,Montana,6.9
2012,Montana,6.0
2013,Montana,5.4
2014,Montana,4.7
2015,Montana,4.2
2016,Montana,4.1
2017,Montana,3.9
2018,Montana,3.7
1981,Nebraska,4.2
1982,Nebraska,5.6
1983,Nebraska,5.6
1984,Nebraska,4.5
1985,Nebraska,5.2
1986,Nebraska,5.0
1987,Nebraska,4.4
1988,Nebraska,3.6
1989,Nebraska,2.9
1990,Nebraska,2.3
1991,Nebraska,2.7
1992,Nebraska,2.9
1993,Nebraska,2.8
1994,Nebraska,2.6
1995,Nebraska,2.6
1996,Nebraska,2.7
1997,Nebraska,2.5
1998,Nebraska,2.6
1999,Nebraska,2.8
2000,Nebraska,2.8
2001,Nebraska,3.1
2002,Nebraska,3.6
2003,Nebraska,3.9
2004,Nebraska,3.9
2005,Nebraska,3.8
2006,Nebraska,3.1
2007,Nebraska,3.0
2008,Nebraska,3.3
2009,Nebraska,4.6
2010,Nebraska,4.6
2011,Nebraska,4.4
2012,Nebraska,4.0
2013,Nebraska,3.8
2014,Nebraska,3.3
2015,Nebraska,3.0
2016,Nebraska,3.1
2017,Nebraska,2.9
2018,Nebraska,2.8
1981,Nevada,7.2
1982,Nevada,9.9
1983,Nevada,9.6
1984,Nevada,7.9
1985,Nevada,7.7
1986,Nevada,6.2
1987,Nevada,6.1
1988,Nevada,5.2
1989,Nevada,4.7
1990,Nevada,4.7
1991,Nevada,5.8
1992,Nevada,6.7
1993,Nevada,6.8
1994,Nevada,6.2
1995,Nevada,5.6
1996,Nevada,5.0
1997,Nevada,4.4
1998,Nevada,4.2
1999,Nevada,4.0
2000,Nevada,4.2
2001,Nevada,5.2
2002,Nevada,5.6
2003,Nevada,5.1
2004,Nevada,4.3
2005,Nevada,4.1
2006,Nevada,4.0
2007,Nevada,4.5
2008,Nevada,6.7
2009,Nevada,11.3
2010,Nevada,13.5
2011,Nevada,13.0
2012,Nevada,11.2
2013,Nevada,9.6
2014,Nevada,7.9
2015,Nevada,6.8
2016,Nevada,5.7
2017,Nevada,5.1
2018,Nevada,4.6
1981,New Hampshire,5.2
1982,New Hampshire,6.8
1983,New Hampshire,5.5
1984,New Hampshire,4.3
1985,New Hampshire,3.7
1986,New Hampshire,2.8
1987,New Hampshire,2.3
1988,New Hampshire,2.4
1989,New Hampshire,3.5
1990,New Hampshire,5.7
